Medicine Name,Composition,Use Case,Type,Drug Class
Dolo 650,Paracetamol 650mg,"Fever, Headache, Mild to Moderate Pain",Tablet,Analgesic / Antipyretic
Calpol,Paracetamol 500mg,"Fever, Body Ache, Cold-related Pain",Tablet / Syrup,Analgesic / Antipyretic
Crocin Advance,Paracetamol 500mg,"Fever, Headache, Mild Pain",Tablet,Analgesic / Antipyretic
Brufen,Ibuprofen 400mg,"Fever, Toothache, Muscle Pain",Tablet / Suspension,NSAID
Voveran,Diclofenac Sodium,"Arthritis, Joint Pain, Swelling",Tablet / Gel / Injection,NSAID
Paracetamol,Paracetamol 500mg/650mg,"Fever, Headache, Body Pain",Tablet / Syrup,OPIOID ANALGESICS
Ibuprofen,Ibuprofen 400mg,"Pain Relief, Inflammation, Fever",Tablet,OPIOID ANALGESICS
Diclofenac,Diclofenac Sodium 50mg,"Inflammation, Post-surgery Pain, Swelling",Tablet / Gel / Injection,Acetic acid derivatives and related substances
Liv 52,"Herbal (Capers, Chicory, etc.)","Liver health, appetite stimulant",Tablet / Syrup,Herbal Liver Tonic
Shelcal,Calcium Carbonate + Vitamin D3,"Calcium deficiency, bone health",Tablet,Calcium Supplement
Dexorange,Iron + Folic Acid + Vitamin B12,"Anemia, iron deficiency",Syrup / Capsule,Iron Supplement + Vitamins
Iron Folic,Iron + Folic Acid,"Iron supplementation, pregnancy",Tablet,Iron + Folic Acid
Calcium D3,Calcium + Vitamin D3,"Bone health, osteoporosis prevention",Chewable Tablet,Calcium + Vitamin D3
Himalaya Liv,"Herbal (Capers, Chicory)","Liver support, detoxification",Tablet / Syrup,Herbal Liver Tonic
Duphaston,Dydrogesterone 10mg,"Menstrual disorders, infertility",Tablet,Progestin (Dydrogesterone)
Dydrogesterone,Dydrogesterone,"Hormonal support, irregular cycles",Tablet,Pregnadien derivatives
Candid,Clotrimazole 1%,Fungal infections,Powder / Cream,Topical Antifungal
Flutivate,Fluticasone Propionate 0.05%,"Dermatitis, eczema, allergies",Cream,Topical Corticosteroid
Bepanthol,Dexpanthenol 5%,"Dry skin, diaper rash",Cream,Skin Protectant (Provitamin B5)
